SERIAL_NUMBER,DATE,HUMS_TMP_FCT1,HUMS_NB_EVENT_FCT1,HUMS_TMP_FCT2,HUMS_NB_EVENT_FCT2,HUMS_TMP_FCT3,HUMS_NB_EVENT_FCT3,HUMS_MIN_TEMPERATURE_FCT4,HUMS_MAX_TEMPERATURE_FCT4
SN-B015,2025-07-28,38.7,8,54.4,8,44.7,8,21.7,73.5
SN-B015,2025-08-23,46.4,0,54.0,0,36.6,4,0,0
SN-B015,2025-10-28,54.2,2,56.2,5,0,0,12.7,61.3
SN-B015,2025-11-22,43.3,8,61.0,1,0,0,22.9,73.9
SN-B015,2025-12-16,38.3,3,51.8,2,36.8,0,17.3,60.8
SN-B016,2025-01-02,0,0,0,0,0,0,0,0
SN-B016,2025-04-15,55.0,8,50.2,3,0,0,23.6,79.0
SN-B016,2025-07-06,52.5,1,51.6,3,38.2,6,14.6,68.1
SN-B016,2025-07-27,35.7,7,46.4,5,36.9,6,10.9,78.7
SN-B016,2025-11-10,52.8,7,57.4,9,45.2,8,24.4,60.9
SN-B016,2026-01-26,54.6,4,54.7,3,34.7,1,19.3,65.3
SN-B017,2025-01-03,51.9,5,61.0,2,46.3,1,17.3,77.3
SN-B017,2025-02-04,44.0,7,52.1,8,30.0,6,11.7,68.5
SN-B017,2025-03-16,41.2,2,50.9,10,31.9,4,15.0,63.6
SN-B017,2025-06-29,47.9,5,55.5,1,34.3,8,15.6,75.2
SN-B017,2025-07-12,47.5,2,55.9,10,43.0,7,21.6,64.2
SN-B017,2025-08-19,49.7,9,61.0,1,48.1,0,22.2,79.8
SN-B017,2025-08-24,49.1,9,51.7,3,48.5,4,13.8,66.6
SN-B017,2025-09-10,36.5,4,46.3,11,41.6,0,23.7,64.2
SN-B017,2025-10-23,48.7,1,58.8,7,46.0,4,12.8,69.6
SN-B017,2025-12-31,54.5,10,50.7,9,38.8,0,23.3,73.3
SN-B017,2026-01-27,49.1,0,56.1,2,37.2,4,23.9,68.4
SN-B017,2026-02-01,41.1,7,53.5,1,38.4,5,15.5,69.5
SN-B018,2025-02-14,46.8,4,58.4,5,39.6,7,12.1,60.1
SN-B018,2025-03-22,54.0,6,47.9,10,36.6,4,17.1,74.9
SN-B018,2025-03-28,40.4,7,56.8,9,32.8,7,15.2,73.1
SN-B018,2025-06-06,49.9,4,55.7,0,38.1,2,18.7,78.8
SN-B018,2025-08-01,35.3,0,55.8,3,36.6,8,0,0
SN-B018,2025-08-13,54.7,9,52.0,3,31.2,8,22.9,63.8
SN-B018,2025-08-19,44.1,1,46.5,12,47.2,7,10.4,73.4
SN-B018,2025-08-24,51.5,4,48.3,11,37.0,1,14.9,74.0
SN-B018,2025-09-27,41.3,9,54.6,6,44.4,2,23.6,72.6
SN-B018,2025-10-22,48.5,9,55.0,8,36.8,2,13.6,77.4
SN-B018,2025-11-14,41.6,9,55.9,6,32.7,6,15.1,68.8
SN-B018,2026-01-10,45.4,10,46.2,12,0,0,21.4,62.6
SN-B019,2025-01-08,45.4,10,60.1,7,33.9,3,0,0
SN-B019,2025-04-15,39.3,4,47.5,10,39.5,3,20.9,76.5
SN-B019,2025-05-10,0,0,0,0,0,0,0,0
SN-B019,2025-06-04,35.8,8,61.6,5,31.4,1,0,0
SN-B019,2025-06-08,0,0,0,0,0,0,0,0
SN-B019,2025-06-12,35.2,2,57.2,10,47.3,2,13.7,78.5
SN-B019,2025-12-27,55.0,10,56.0,9,37.7,1,12.3,64.7
SN-B020,2025-05-02,0,0,49.1,1,34.3,2,23.3,71.2
SN-B020,2025-07-14,48.1,5,51.5,2,31.5,7,10.6,79.1
SN-B020,2025-07-26,54.7,4,63.5,4,43.7,4,0,0
SN-B020,2025-08-26,42.4,10,50.7,7,0,0,16.2,62.2
SN-B020,2025-10-11,46.2,7,0,0,35.6,2,20.6,78.4
SN-B020,2025-11-01,50.6,3,59.3,6,37.3,6,13.2,64.3
SN-B020,2025-11-11,38.1,3,56.0,5,30.7,1,19.7,61.8
SN-B020,2025-12-04,49.8,1,59.2,1,38.4,5,16.9,74.0
SN-B020,2025-12-08,0,0,53.2,10,42.8,7,14.0,63.1
SN-C001,2025-01-15,54.4,0,61.9,6,36.7,3,15.6,77.6
SN-C001,2025-02-02,39.2,10,56.0,10,46.2,0,10.2,72.4
SN-C001,2025-02-10,36.0,7,54.6,8,46.4,6,24.7,76.9
SN-C001,2025-02-12,40.8,6,52.6,10,42.3,3,10.4,78.2
SN-C001,2025-02-20,50.7,4,58.1,10,36.0,7,17.1,60.4
SN-C001,2025-03-12,50.4,10,0,0,0,0,23.3,60.8
SN-C001,2025-03-31,38.9,0,50.7,8,40.9,8,13.9,64.5
SN-C001,2025-05-15,41.4,6,57.5,8,32.1,2,12.2,66.6
SN-C001,2025-07-17,0,0,47.3,11,47.4,0,14.8,64.6
SN-C001,2025-10-04,38.5,3,58.8,2,48.0,8,16.5,78.5
SN-C001,2025-10-31,39.7,3,0,0,40.0,7,15.7,73.6
SN-C002,2025-02-24,0,0,52.0,8,42.0,8,18.3,60.7
SN-C002,2025-03-16,40.1,3,50.0,2,43.9,6,19.6,62.7
SN-C002,2025-04-07,55.0,0,54.0,1,43.2,0,14.8,64.5
SN-C002,2025-04-30,37.0,6,57.6,5,46.3,1,0,0
SN-C002,2025-05-30,45.5,1,48.3,5,31.3,8,22.2,77.8
SN-C002,2025-06-26,36.6,5,47.9,4,41.7,4,13.8,76.8
SN-C002,2025-07-01,0,0,52.5,0,34.3,3,11.3,69.3
SN-C002,2025-07-02,36.8,3,52.9,4,46.7,1,22.4,64.9
SN-C002,2025-11-01,0,0,48.4,12,48.2,1,17.4,65.5
SN-C002,2025-12-04,36.9,4,45.2,2,33.0,0,0,0
SN-C002,2025-12-16,46.7,4,53.7,7,42.1,7,21.6,76.3
SN-C002,2025-12-24,49.3,6,62.2,6,49.8,2,16.3,66.0
SN-C003,2025-01-31,47.7,10,49.9,6,47.1,8,22.8,68.5
SN-C003,2025-02-10,49.1,10,54.9,11,0,0,10.9,72.0
SN-C003,2025-02-13,45.2,8,45.7,12,49.6,7,12.1,78.3
SN-C003,2025-04-08,52.2,4,62.2,11,39.9,0,17.2,75.4
SN-C003,2025-05-03,54.6,3,0,0,30.6,5,19.4,68.3
SN-C003,2025-05-05,53.5,9,58.1,12,48.9,3,13.4,66.4
SN-C003,2025-05-08,39.3,1,58.0,10,44.3,4,14.0,61.6
SN-C003,2025-05-29,36.0,7,53.4,1,0,0,24.7,77.6
SN-C003,2025-08-01,49.0,6,58.6,8,31.0,8,12.6,69.7
SN-C003,2025-10-30,42.9,2,62.9,11,37.5,6,22.5,72.9
SN-C003,2025-11-10,42.5,9,52.7,0,48.9,2,0,0
SN-C003,2025-11-19,45.9,3,62.5,4,0,0,0,0
SN-C003,2025-12-17,54.1,3,64.5,10,42.9,6,18.8,66.9
SN-C004,2025-03-22,0,0,59.7,1,34.2,4,19.5,78.0
SN-C004,2025-05-11,55.0,3,46.2,4,30.7,6,13.6,61.8
SN-C004,2025-05-23,40.3,2,51.5,11,42.4,8,15.6,64.8
SN-C004,2025-06-07,0,0,0,0,0,0,0,0
SN-C004,2025-06-23,51.2,7,55.2,10,40.3,7,19.4,77.6
SN-C004,2025-07-29,0,0,45.7,11,43.3,6,17.0,65.1
SN-C004,2025-10-05,0,0,59.1,2,45.6,4,18.1,74.6
SN-C004,2025-10-30,0,0,0,0,0,0,0,0
SN-C004,2025-11-06,54.0,6,54.7,9,47.7,8,23.2,69.0
SN-C004,2025-11-25,48.8,0,60.6,10,38.2,8,20.3,66.9
SN-C004,2025-12-24,47.7,0,60.0,8,31.3,5,23.0,73.6
SN-C004,2026-01-04,53.5,6,0,0,39.6,8,15.9,62.8
SN-C005,2025-03-15,44.1,4,51.1,12,36.8,3,22.5,71.8
SN-C005,2025-09-20,53.8,9,53.3,4,33.9,5,17.5,73.0
SN-C005,2025-10-10,52.8,6,49.4,11,0,0,0,0
SN-C005,2025-11-11,39.1,5,53.1,7,32.3,0,25.0,71.1
SN-C005,2025-12-25,39.0,5,53.7,5,38.6,0,24.0,73.1
SN-C005,2025-12-31,45.8,4,46.5,6,32.4,6,20.5,61.6
SN-C005,2026-01-30,53.9,6,49.3,4,34.5,0,21.3,63.7
SN-C005,2026-01-31,48.4,10,62.0,5,40.4,7,17.2,66.0
SN-C006,2025-03-22,50.0,8,50.4,4,32.7,6,0,0
SN-C006,2025-03-22,44.8,9,56.1,1,48.9,8,21.2,62.3
SN-C006,2025-05-30,53.7,8,64.2,6,33.1,2,19.7,79.8
SN-C006,2025-07-04,47.2,3,56.5,6,0,0,11.0,76.1
SN-C006,2025-08-29,50.6,1,57.5,5,35.0,0,0,0
SN-C006,2025-11-11,37.0,4,59.5,0,31.6,3,22.9,69.1
SN-C006,2025-12-03,36.9,3,47.6,6,0,0,15.3,69.1
SN-C006,2025-12-11,41.7,7,64.8,6,32.7,4,11.9,66.2
SN-C006,2025-12-13,50.5,10,45.5,11,49.0,8,22.6,77.0
SN-C007,2025-09-07,36.9,5,59.5,9,46.5,1,21.9,61.5
SN-C007,2025-11-27,0,0,62.1,10,39.8,6,22.7,62.8
SN-C008,2025-04-13,0,0,48.4,7,45.2,3,16.5,76.4
SN-C008,2025-05-28,49.0,6,48.1,9,32.5,7,16.6,79.3
SN-C008,2025-06-03,47.2,4,58.0,7,37.3,6,14.4,77.9
SN-C008,2025-06-12,53.0,7,46.1,10,43.4,7,13.6,68.5
SN-C008,2025-07-10,47.7,5,62.0,9,45.9,2,22.7,65.7
SN-C008,2025-08-18,48.7,2,49.0,11,49.4,4,12.8,76.3
SN-C008,2025-08-30,38.0,2,49.5,5,35.7,2,12.7,60.1
SN-C008,2025-10-07,40.4,0,47.8,10,30.0,4,22.7,63.6
SN-C008,2025-11-28,0,0,47.0,9,49.4,1,13.5,79.4
SN-C008,2025-12-28,41.6,5,63.3,12,37.1,0,23.6,78.9
SN-C008,2026-01-31,43.7,9,59.8,4,39.6,6,15.5,75.4
SN-C008,2026-02-01,52.5,4,61.7,4,30.7,1,19.0,63.6
SN-C009,2025-01-07,42.9,2,56.1,11,39.7,1,21.4,76.2
SN-C009,2025-01-10,36.8,10,51.1,3,42.1,1,17.2,75.2
SN-C009,2025-01-16,42.1,5,62.3,1,0,0,18.6,68.8
SN-C009,2025-01-28,0,0,46.1,7,39.5,7,21.7,60.8
SN-C009,2025-03-11,46.9,0,55.5,1,47.2,7,24.7,77.0
SN-C009,2025-05-27,0,0,0,0,0,0,0,0
SN-C009,2025-07-27,40.2,1,58.6,2,40.9,7,12.3,74.7
SN-C009,2025-08-14,50.3,7,56.3,1,33.1,4,10.2,60.6
SN-C009,2025-08-17,37.0,1,56.7,7,40.5,2,21.6,66.1
SN-C009,2025-09-25,49.0,7,64.5,9,36.0,6,23.1,79.4
SN-C009,2025-11-12,36.6,0,54.1,0,30.7,1,23.1,65.3
SN-C009,2025-11-25,52.2,10,53.5,3,39.6,6,24.2,61.9
SN-C009,2026-01-03,46.2,1,64.5,3,49.1,8,0,0
SN-C009,2026-01-20,54.8,3,51.5,6,37.4,7,19.4,63.3
SN-C010,2025-04-10,0,0,57.5,5,43.5,5,19.9,75.7
SN-C010,2025-04-14,48.8,6,57.9,2,42.6,7,21.5,67.0
SN-C010,2025-04-14,38.5,6,65.0,0,36.3,1,13.9,79.4
SN-C010,2025-05-03,35.4,6,64.0,7,34.8,5,19.8,68.7
SN-C010,2025-05-13,45.7,0,51.7,8,36.8,0,21.4,68.0
SN-C010,2025-07-08,36.8,8,53.6,10,37.8,7,14.4,62.1
SN-C010,2025-07-20,43.6,8,59.0,11,31.0,0,20.1,69.6
SN-C010,2025-07-27,42.2,3,51.6,7,46.5,3,23.6,78.5
SN-C010,2025-08-27,0,0,52.9,11,44.9,7,16.2,77.8
SN-C010,2025-09-21,46.7,9,48.2,3,39.1,6,18.3,69.6
SN-C010,2026-01-01,37.5,2,47.2,7,47.2,2,24.3,60.4
SN-C010,2026-01-04,0,0,48.8,12,38.1,2,22.2,75.7
SN-C010,2026-01-10,36.4,8,62.8,2,47.9,1,19.6,62.3
SN-C011,2025-02-16,44.2,0,55.3,1,34.8,5,22.1,71.6
SN-C011,2025-03-23,36.5,7,61.8,5,46.3,5,10.9,70.4
SN-C011,2025-05-25,0,0,0,0,0,0,0,0
SN-C011,2025-07-20,42.5,4,54.6,10,42.5,8,20.2,79.0
SN-C011,2025-08-08,42.6,8,57.9,7,40.5,1,22.2,68.7
SN-C011,2025-09-17,35.3,1,0,0,44.5,6,10.2,75.4
SN-C011,2025-10-12,43.0,4,60.2,2,39.9,2,11.0,76.4
SN-C011,2026-01-24,35.0,2,46.8,9,39.4,6,24.1,76.1
SN-C012,2025-01-11,46.3,0,51.6,12,49.0,5,18.5,72.3
SN-C012,2025-02-23,54.9,9,51.5,4,41.0,8,17.4,76.2
SN-C012,2025-03-01,0,0,45.1,3,37.1,2,0,0
SN-C012,2025-04-05,40.9,8,0,0,42.9,0,0,0
SN-C012,2025-08-04,47.9,0,52.1,6,48.4,2,24.3,76.7
SN-C012,2025-12-13,36.2,9,49.7,9,40.4,1,19.1,72.0
SN-C012,2026-01-02,37.6,0,47.4,11,48.0,6,11.8,66.8
SN-C012,2026-01-20,47.9,3,60.3,8,48.9,2,19.1,63.7
SN-C012,2026-01-22,54.8,10,0,0,34.7,6,21.6,65.3
SN-C013,2025-02-07,45.9,2,63.8,3,32.3,5,19.6,63.6
SN-C013,2025-03-09,37.9,6,54.3,5,33.0,6,17.4,67.2
SN-C013,2025-04-27,46.5,9,48.9,9,44.0,2,15.8,71.3
SN-C013,2025-06-25,53.7,5,47.9,9,43.2,7,22.3,61.9
SN-C013,2025-07-10,45.8,8,63.2,10,0,0,11.6,71.1
SN-C013,2025-10-04,47.4,2,56.2,10,32.2,5,13.0,79.5
SN-C014,2025-02-11,47.3,2,60.1,1,45.9,4,16.8,71.3
SN-C014,2025-02-15,0,0,0,0,0,0,0,0
SN-C014,2025-03-15,39.4,6,61.9,3,45.1,0,19.9,69.9
SN-C014,2025-05-29,54.6,4,53.1,0,32.2,5,0,0
SN-C014,2025-07-01,0,0,48.0,1,40.1,1,24.4,72.3
SN-C014,2025-10-14,41.7,7,0,0,37.7,8,0,0
SN-C014,2025-10-23,42.6,1,54.6,2,39.8,5,22.3,72.5
SN-C014,2025-11-19,43.0,2,52.9,4,31.8,0,13.0,63.9
SN-C014,2025-11-23,53.8,1,64.6,9,0,0,12.0,72.9
SN-C014,2026-01-25,54.3,0,55.0,5,40.1,6,19.7,67.6
SN-C014,2026-01-26,48.9,7,54.8,12,42.7,3,21.8,64.7
SN-C015,2025-01-23,53.7,5,62.0,6,33.6,1,23.4,76.1
SN-C015,2025-02-08,42.0,2,58.5,8,36.2,3,11.7,68.4
SN-C015,2025-04-16,37.5,5,60.5,7,32.5,2,0,0
SN-C015,2025-05-26,0,0,54.4,7,44.3,8,19.1,70.8
SN-C015,2025-05-29,43.4,10,58.1,12,44.9,7,12.9,72.2
SN-C015,2025-07-28,54.7,2,62.6,9,34.5,7,24.1,79.7
SN-C015,2025-08-04,53.3,3,62.1,0,35.1,8,14.5,68.0
SN-C015,2025-08-08,44.7,7,47.7,12,44.6,0,12.8,67.9
SN-C015,2025-08-19,51.0,5,59.4,6,30.3,8,0,0
SN-C015,2025-10-03,39.2,1,58.4,3,47.8,8,21.8,66.5
SN-C015,2025-10-16,36.9,9,0,0,37.0,8,15.9,61.7
SN-C015,2025-11-28,0,0,62.5,4,43.6,7,22.2,68.0
SN-C015,2026-01-06,46.2,1,56.4,12,43.8,2,0,0
SN-C016,2025-01-20,54.4,2,54.9,5,42.3,1,0,0
SN-C016,2025-07-06,35.9,2,59.8,5,49.8,3,16.7,73.7
SN-C016,2025-07-12,52.7,10,61.3,8,30.7,2,12.3,73.6
SN-C016,2025-08-03,50.1,10,46.0,5,38.3,1,24.3,63.1
SN-C016,2025-09-22,38.4,5,48.0,2,46.0,4,14.5,63.7
SN-C016,2025-11-08,36.5,5,50.4,5,32.3,3,0,0
SN-C016,2025-11-30,50.3,7,53.0,12,31.5,1,21.5,61.5
SN-C016,2025-12-23,36.3,8,52.3,4,48.9,8,13.0,73.4
SN-C017,2025-01-15,53.8,7,56.0,3,45.6,6,22.1,73.8
SN-C017,2025-01-19,54.1,0,56.3,7,43.3,8,0,0
SN-C017,2025-01-26,36.0,4,58.3,8,38.6,7,12.2,77.5
SN-C017,2025-01-27,37.0,6,61.3,2,36.9,7,10.9,66.3
SN-C017,2025-03-01,0,0,47.1,6,33.6,8,16.5,61.8
SN-C017,2025-03-05,50.6,8,61.5,4,36.1,7,0,0
SN-C017,2025-04-21,49.3,8,55.8,7,33.1,7,15.8,72.1
SN-C017,2025-04-22,0,0,47.0,5,43.8,6,17.2,73.0
SN-C017,2025-05-30,48.1,6,64.1,4,0,0,18.1,71.6
SN-C017,2025-07-03,44.0,1,58.4,3,38.5,8,18.3,70.3
SN-C017,2025-09-10,52.7,3,0,0,34.8,1,12.7,74.4
SN-C017,2025-09-28,52.1,9,45.5,7,31.3,0,24.6,67.4
SN-C018,2025-01-13,52.8,10,56.8,7,0,0,0,0
SN-C018,2025-02-03,35.2,4,49.1,3,47.0,6,20.8,69.7
SN-C018,2025-03-17,48.4,10,0,0,34.6,6,14.5,74.3
SN-C018,2025-06-16,47.9,1,60.8,9,47.6,1,10.0,70.5
SN-C018,2025-06-26,36.7,10,0,0,38.8,8,22.6,79.1
SN-C018,2025-07-02,54.5,7,57.8,5,36.0,6,23.2,64.7
SN-C018,2025-08-15,41.6,9,46.8,3,49.9,1,21.1,66.4
SN-C018,2025-10-07,41.2,1,59.0,1,48.7,6,10.0,76.4
SN-C018,2025-10-24,52.4,10,60.2,12,30.6,4,0,0
SN-C018,2026-01-10,47.3,2,62.1,2,32.9,2,23.8,75.3
SN-C019,2025-02-04,51.4,9,47.0,2,44.6,0,0,0
SN-C019,2025-02-17,45.5,2,59.8,6,44.3,3,19.4,65.2
SN-C019,2025-04-15,51.5,4,57.6,12,34.5,7,19.0,72.0
SN-C019,2025-04-21,47.9,10,56.3,4,36.2,6,10.7,69.3
SN-C019,2025-05-03,0,0,0,0,0,0,0,0
SN-C019,2025-06-09,41.6,2,65.0,4,39.4,7,0,0
SN-C019,2025-07-31,41.2,7,55.6,6,39.5,6,22.0,78.6
SN-C019,2025-08-05,44.8,10,57.2,2,41.4,3,20.4,64.4
SN-C019,2025-10-26,40.7,3,52.9,11,41.3,1,0,0
SN-C019,2026-01-20,0,0,0,0,0,0,0,0
SN-C020,2025-01-23,52.2,0,60.4,8,32.8,3,11.6,72.0
SN-C020,2025-02-12,39.8,2,47.2,8,38.1,8,18.6,76.0
SN-C020,2025-02-23,38.8,0,61.4,0,48.5,6,23.9,73.5
SN-C020,2025-05-03,38.6,10,56.1,9,35.0,8,0,0
SN-C020,2025-06-22,48.4,0,54.3,12,36.8,1,0,0
SN-C020,2025-07-29,37.9,2,58.9,11,44.5,0,19.6,60.5
SN-C020,2025-08-01,0,0,54.7,1,46.6,4,20.0,67.0
SN-C020,2025-08-12,40.3,2,46.2,2,34.6,2,24.0,61.8
SN-C020,2025-09-01,52.3,9,52.7,4,46.3,7,24.3,75.0
SN-C020,2025-12-27,39.3,1,0,0,0,0,20.7,64.1
SN-D001,2025-06-13,53.4,1,56.5,6,35.2,5,0,0
SN-D001,2025-06-25,51.8,1,0,0,37.0,5,12.3,61.5
SN-D001,2025-07-11,42.8,10,62.1,12,46.9,8,10.4,79.9
SN-D001,2025-07-28,52.3,3,47.8,12,34.4,1,22.2,79.6
SN-D001,2025-09-09,37.8,2,63.1,4,40.5,0,19.3,78.0
SN-D001,2025-10-17,48.0,2,0,0,0,0,16.0,64.9
SN-D001,2025-11-04,0,0,50.3,5,48.0,4,11.0,69.2
SN-D002,2025-01-05,46.4,3,48.5,7,42.8,1,14.1,73.4
SN-D002,2025-02-26,45.1,6,58.3,0,40.2,2,22.1,67.8
SN-D002,2025-06-03,48.7,9,61.2,8,35.3,3,0,0
SN-D002,2025-07-11,39.3,2,62.3,10,39.6,4,18.4,67.3
SN-D002,2025-07-30,0,0,0,0,0,0,0,0
SN-D002,2025-08-17,47.3,9,56.8,9,44.9,5,13.9,66.9
SN-D002,2025-08-30,50.9,8,57.4,3,33.5,1,17.5,76.4
SN-D002,2025-10-01,49.6,6,50.6,9,48.0,1,21.0,64.1
SN-D002,2025-12-01,36.7,8,46.0,2,45.8,5,10.2,78.7
SN-D002,2026-01-28,45.2,5,55.0,4,34.0,6,11.0,73.1
SN-D003,2025-01-18,52.7,9,52.8,0,47.5,0,18.4,71.2
SN-D003,2025-02-12,50.6,10,49.8,9,45.8,2,12.0,63.6
SN-D003,2025-04-05,41.2,5,53.3,0,32.3,5,13.9,72.3
SN-D003,2025-05-15,35.2,8,49.3,12,45.7,6,13.1,78.3
SN-D003,2025-05-21,0,0,45.8,1,38.3,3,18.4,77.9
SN-D003,2025-06-10,44.4,4,53.2,11,42.2,1,18.2,68.3
SN-D003,2025-09-13,45.5,7,0,0,0,0,23.3,61.6
SN-D003,2025-09-23,36.4,6,0,0,39.1,5,13.5,78.3
SN-D003,2025-10-03,52.1,9,53.2,0,49.0,8,11.0,74.2
SN-D003,2025-10-06,46.3,10,0,0,49.8,7,12.0,78.5
SN-D003,2025-10-28,46.6,0,0,0,0,0,24.6,78.9
SN-D003,2025-11-11,49.5,5,49.0,3,34.8,1,20.6,61.8
SN-D003,2025-11-26,46.1,6,56.2,2,49.0,3,11.1,75.6
SN-D003,2025-12-09,39.2,4,59.5,8,37.6,0,16.2,67.9
SN-D003,2025-12-13,0,0,56.1,8,47.1,3,19.3,60.4
SN-D003,2026-01-12,48.0,7,55.4,0,0,0,18.7,63.1
SN-D004,2025-03-15,0,0,0,0,0,0,0,0
SN-D004,2025-03-25,44.7,9,58.7,6,43.1,7,23.4,76.4
SN-D004,2025-05-30,53.3,1,62.5,5,42.5,0,13.1,77.7
SN-D004,2025-08-13,50.7,9,0,0,37.5,8,16.1,69.8
SN-D004,2025-08-14,39.7,3,56.6,6,43.1,5,17.7,75.7
SN-D004,2025-09-20,35.6,8,61.7,6,43.5,2,0,0
SN-D004,2025-11-03,55.0,9,56.1,0,43.4,6,0,0
SN-D004,2025-11-04,45.3,5,50.7,4,33.4,7,23.5,69.3
SN-D004,2025-11-12,39.0,8,46.1,5,0,0,12.0,78.4
SN-D004,2025-12-31,0,0,63.0,3,32.4,2,11.8,61.2
SN-D005,2025-01-09,40.9,9,48.5,12,49.4,0,20.7,75.2
SN-D005,2025-03-24,44.8,2,60.8,12,33.4,8,15.9,61.6
SN-D005,2025-03-25,40.6,0,63.3,10,47.7,4,11.6,71.3
SN-D005,2025-04-18,39.0,1,53.4,11,32.0,8,23.5,70.5
SN-D005,2025-05-13,35.9,4,46.3,7,35.6,7,22.9,76.2
SN-D005,2025-05-22,0,0,0,0,47.8,6,24.9,75.0
SN-D005,2025-06-08,53.1,6,59.1,9,31.6,3,21.5,62.2
SN-D005,2025-06-17,35.5,10,0,0,44.2,8,22.8,65.8
SN-D005,2025-06-27,39.4,5,55.6,3,46.9,3,21.9,60.1
SN-D005,2025-10-21,54.4,8,54.2,12,48.9,4,13.6,66.0
SN-D005,2025-10-27,51.2,6,54.9,4,34.6,5,24.3,68.9
SN-D005,2025-11-01,50.8,0,55.4,3,37.9,0,21.9,71.6
SN-D005,2025-12-07,0,0,53.9,8,39.3,8,11.2,76.0
SN-D005,2026-01-29,45.1,3,58.3,5,33.4,7,20.7,63.9
SN-D006,2025-01-01,49.6,6,0,0,48.2,1,23.2,77.1
SN-D006,2025-01-29,43.6,1,47.8,12,42.2,5,11.8,77.6
SN-D006,2025-05-18,43.7,0,58.3,11,41.0,1,19.8,70.0
SN-D006,2025-06-03,0,0,58.1,9,46.0,8,23.0,77.2
SN-D006,2025-06-05,0,0,0,0,0,0,0,0
SN-D006,2025-06-17,53.3,3,55.7,4,30.9,5,22.9,69.3
SN-D006,2025-08-31,48.6,9,60.2,1,47.3,0,24.4,76.0
SN-D006,2025-08-31,36.2,8,64.4,4,30.9,2,10.8,74.5
SN-D006,2025-09-17,42.7,0,54.2,1,48.0,0,16.5,77.6
SN-D006,2025-09-18,47.0,4,55.2,4,36.0,8,11.2,66.7
SN-D006,2025-10-24,36.4,7,48.3,2,40.5,4,24.6,63.2
SN-D006,2025-11-27,0,0,0,0,0,0,0,0
SN-D006,2026-01-01,35.1,3,54.3,11,44.6,5,19.5,77.3
SN-D007,2025-02-10,40.4,6,47.2,8,35.7,2,21.5,60.9
SN-D007,2025-04-13,0,0,0,0,0,0,0,0
SN-D007,2025-04-28,50.1,8,50.3,4,43.6,7,24.6,70.3
SN-D007,2025-05-17,49.3,7,64.1,12,0,0,20.8,74.1
SN-D007,2025-05-23,53.7,4,52.5,7,46.6,1,19.4,64.1
SN-D007,2025-06-17,52.1,0,60.1,12,34.9,0,12.5,79.8
SN-D007,2025-07-30,46.7,3,46.9,11,46.1,6,24.9,61.7
SN-D007,2025-08-09,42.3,1,46.6,12,39.6,3,21.5,64.7
SN-D007,2025-09-03,38.3,0,60.8,9,39.2,8,19.9,72.0
SN-D007,2025-09-14,0,0,0,0,38.0,5,19.0,72.3
SN-D007,2025-10-08,51.9,9,60.0,8,48.6,4,17.7,77.6
SN-D007,2025-12-16,45.0,8,0,0,34.7,0,19.5,65.9
SN-D007,2026-01-16,49.7,7,47.9,3,49.7,0,21.3,63.6
SN-D007,2026-01-18,54.1,6,54.0,10,32.2,8,10.2,73.3
SN-D008,2025-01-20,43.9,0,54.5,10,31.5,7,10.6,74.2
SN-D008,2025-02-24,49.8,9,46.3,6,38.5,6,16.4,69.3
SN-D008,2025-04-20,51.7,3,50.8,9,46.7,1,12.1,65.0
SN-D008,2025-06-30,47.6,6,60.5,11,45.6,3,11.9,61.6
SN-D008,2025-07-21,0,0,0,0,0,0,0,0
SN-D008,2025-09-13,0,0,0,0,0,0,0,0
SN-D008,2025-11-13,38.5,9,51.9,12,46.3,4,20.8,71.3
SN-D008,2025-11-22,52.8,5,56.8,12,43.1,0,13.8,73.8
SN-D008,2025-12-20,43.3,6,52.8,2,42.7,7,17.0,71.1
SN-D008,2026-01-16,0,0,57.9,9,40.9,4,16.2,77.5
SN-D008,2026-01-23,49.5,1,62.7,3,43.3,7,10.1,76.3
SN-D009,2025-01-22,44.9,9,45.7,6,49.4,7,23.3,67.2
SN-D009,2025-02-08,41.0,6,0,0,49.1,4,19.5,72.7
SN-D009,2025-02-26,36.9,10,51.8,2,35.4,4,16.4,62.0
SN-D009,2025-02-27,40.2,6,48.2,1,42.3,3,17.7,61.0
SN-D009,2025-04-01,52.5,0,0,0,37.1,6,13.4,65.9
SN-D009,2025-04-03,54.3,0,60.6,7,48.5,8,17.8,64.8
SN-D009,2025-04-16,0,0,0,0,0,0,0,0
SN-D009,2025-04-18,47.0,3,63.8,6,0,0,17.7,70.0
SN-D009,2026-02-02,43.6,8,64.8,4,38.3,4,22.2,77.7
SN-D010,2025-05-05,40.4,6,54.0,7,42.3,7,10.9,78.7
SN-D010,2025-05-12,48.0,3,51.7,1,42.1,6,24.1,60.6
SN-D010,2025-06-22,51.5,4,48.5,11,34.5,6,15.8,70.9
SN-D010,2025-09-16,47.3,7,60.4,3,38.0,7,20.9,73.8
SN-D010,2025-09-24,0,0,0,0,0,0,0,0
SN-D010,2025-10-12,42.9,6,61.9,2,33.3,5,19.9,73.2
SN-D010,2025-10-18,44.5,9,58.0,12,33.5,0,10.9,75.1
SN-D010,2025-11-03,38.4,5,60.8,11,47.7,4,16.4,77.8
SN-D010,2025-11-30,35.2,4,58.0,7,43.6,3,17.7,62.2
